start_time,end_time,lyric_text
0.32258049999999994,0.6451609999999999,영
0.6451609999999999,0.9677414999999999,원
0.9677414999999999,1.1290317499999998,을
1.1290317499999998,1.6129025,꿈
1.6129025,1.9354829999999998,꾸
1.9354829999999998,2.2580634999999996,던
2.2580634999999996,2.5806439999999995,널
2.5806439999999995,2.9032245,떠
2.9032245,3.225805,나
3.225805,3.5483854999999997,보
3.5483854999999997,3.7096757499999997,내
3.7096757499999997,5.4838685,고
5.4838685,5.645158749999999,슬
5.645158749999999,5.806449,퍼
5.806449,6.1290295,하
6.1290295,6.290319749999999,던
6.290319749999999,6.7741905,날
6.7741905,7.0967709999999995,까
7.0967709999999995,7.419351499999999,지
7.419351499999999,7.741931999999999,도
7.741931999999999,8.0645125,떠
8.0645125,8.387092999999998,나
8.387092999999998,8.7096735,보
8.7096735,8.87096375,냈
8.87096375,10.645156499999999,네
10.645156499999999,10.967737,오
10.967737,11.290317499999999,늘
11.290317499999999,11.451607749999999,은
11.451607749999999,11.935478499999999,나
11.935478499999999,12.258059,에
12.258059,12.580639499999998,게
12.580639499999998,12.90322,남
12.90322,13.225800499999998,아
13.225800499999998,13.548381,있
13.548381,13.870961499999998,는
13.870961499999998,14.516122499999998,건
14.516122499999998,14.838702999999999,피
14.838702999999999,15.161283499999998,하
15.161283499999998,15.322573749999998,지
15.322573749999998,15.806444499999998,못
15.806444499999998,16.4516055,해
16.4516055,16.61289575,자
16.61289575,16.774185999999997,라
16.774185999999997,17.7419275,난
17.7419275,17.90321775,무
17.90321775,18.064507999999996,던
18.064507999999996,18.387088499999997,함
18.387088499999997,19.0322495,뿐
19.0322495,20.967732499999997,야
20.967732499999997,21.290312999999998,그
21.290312999999998,21.6128935,곳
21.6128935,21.77418375,의
21.77418375,22.258054499999997,나
22.258054499999997,22.903215499999998,는
22.903215499999998,23.225796,얼
23.225796,23.548376499999996,마
23.548376499999996,23.870956999999997,만
23.870956999999997,24.193537499999998,큼
24.193537499999998,24.838698499999996,울
24.838698499999996,25.161278999999997,었
25.161278999999997,25.483859499999998,는
25.483859499999998,26.129020499999996,지
26.129020499999996,26.451600999999997,이
26.451600999999997,26.774181499999997,곳
26.774181499999997,26.935471749999998,의
26.935471749999998,27.419342499999996,나
27.419342499999996,28.064503499999997,는
28.064503499999997,28.387083999999998,누
28.387083999999998,28.709664499999995,구
28.709664499999995,29.032244999999996,보
29.032244999999996,29.354825499999997,다
29.354825499999997,29.999986499999995,잘
29.999986499999995,30.322566999999996,알
30.322566999999996,30.645147499999997,기
30.645147499999997,31.2903085,에
31.2903085,31.612888999999996,후
31.612888999999996,31.935469499999996,회
31.935469499999996,32.09675975,로
32.09675975,32.5806305,가
32.5806305,33.2257915,득
33.2257915,33.54837199999999,채
33.54837199999999,33.870952499999994,운
33.870952499999994,34.193532999999995,유
34.193532999999995,34.516113499999996,리
34.516113499999996,35.1612745,잔
35.1612745,37.096757499999995,만
37.096757499999995,37.258047749999996,내
37.258047749999996,37.419337999999996,려
37.419337999999996,37.7419185,다
37.7419185,38.3870795,보
38.3870795,41.29030399999999,네
41.29030399999999,42.903206499999996,아
42.903206499999996,43.225787,뭐
43.225787,43.5483675,가
43.5483675,43.870948,그
43.870948,44.19352849999999,리
44.19352849999999,44.51610899999999,샘
44.51610899999999,44.838689499999994,이
44.838689499999994,45.483850499999996,났
45.483850499999996,46.1290115,길
46.1290115,46.77417249999999,래
46.77417249999999,46.93546274999999,그
46.93546274999999,47.09675299999999,토
47.09675299999999,47.41933349999999,록
47.41933349999999,47.580623749999994,휘
47.580623749999994,48.064494499999995,몰
48.064494499999995,48.387074999999996,아
48.387074999999996,48.7096555,쳤
48.7096555,49.032236,던
49.032236,51.9354605,가
51.9354605,52.09675074999999,그
52.09675074999999,52.25804099999999,럼
52.25804099999999,52.58062149999999,에
52.58062149999999,52.74191174999999,도
52.74191174999999,53.225782499999994,불
53.225782499999994,53.548362999999995,구
53.548362999999995,53.870943499999996,하
53.870943499999996,54.5161045,고
54.5161045,54.67739474999999,나
54.67739474999999,54.83868499999999,는
54.83868499999999,55.16126549999999,너
55.16126549999999,55.32255574999999,를
55.32255574999999,55.80642649999999,용
55.80642649999999,56.129006999999994,서
56.129006999999994,56.451587499999995,하
56.451587499999995,57.0967485,고
57.0967485,57.41932899999999,사
57.41932899999999,57.74190949999999,랑
57.74190949999999,57.90319974999999,하
57.90319974999999,58.38707049999999,게
58.38707049999999,58.709650999999994,될
58.709650999999994,59.032231499999995,거
59.032231499999995,82.90318849999998,야
82.90318849999998,83.22576899999999,아
83.22576899999999,83.54834949999999,파
83.54834949999999,83.70963975,했
83.70963975,84.19351049999999,지
84.19351049999999,84.83867149999999,만
84.83867149999999,85.16125199999999,또
85.16125199999999,85.48383249999999,아
85.48383249999999,85.80641299999999,파
85.80641299999999,86.12899349999999,도
86.12899349999999,86.7741545,되
86.7741545,87.096735,는
87.096735,87.4193155,기
87.4193155,88.06447649999998,억
88.06447649999998,88.38705699999998,불
88.38705699999998,88.70963749999999,안
88.70963749999999,88.87092774999999,한
88.87092774999999,89.35479849999999,내
89.35479849999999,89.99995949999999,게
89.99995949999999,90.32253999999999,모
90.32253999999999,90.64512049999999,난
90.64512049999999,90.96770099999999,돌
90.96770099999999,91.29028149999999,을
91.29028149999999,91.9354425,쥐
91.9354425,92.258023,어
92.258023,92.5806035,주
92.5806035,93.2257645,던
93.2257645,93.54834499999998,깨
93.54834499999998,93.87092549999998,진
93.87092549999998,94.03221574999999,조
94.03221574999999,94.51608649999999,각
